Country,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,Internet users
Afghanistan,0.798,55.4,6.3,56017,64.2
Albania,0.816,64.8,5.2,22680,95.5
Algeria,0.881,71.4,9.7,72165,27.8
Andorra,0.917,83.9,11.0,59257,21.8
Angola,0.854,84.5,10.2,35117,21.2
Antigua and Barbuda,0.871,76.2,8.4,36524,59.7
Argentina,0.832,61.9,13.4,60357,13.8
Armenia,0.848,65.1,7.1,70662,44.8
Australia,0.913,57.4,10.7,88741,51.7
Austria,0.829,64.6,13.9,16802,51.4
Azerbaijan,0.867,74.0,6.1,59356,52.8
Bahamas,0.939,64.0,10.5,52894,90.1
Bahrain,0.94,72.9,13.7,17054,88.0
Bangladesh,0.877,80.6,7.1,46991,49.1
Barbados,0.897,76.3,10.0,33802,64.7
Belarus,0.778,55.7,10.2,23932,63.5
Belgium,0.97,79.4,13.9,52338,54.3
Belize,0.836,67.3,9.7,51098,38.2
Benin,0.904,64.5,11.8,77423,35.4
Bhutan,0.889,68.8,11.1,22255,83.9
Bolivia,0.829,78.9,5.0,6463,88.2
Bosnia and Herzegovina,0.853,84.7,6.2,34626,47.2
Botswana,0.911,61.2,13.6,55484,59.4
Brazil,0.822,75.2,10.7,19914,40.4
Brunei,0.683,64.1,4.6,32249,24.1
Bulgaria,0.712,65.6,6.0,9078,51.6
Burkina Faso,0.889,72.3,12.4,58425,26.6
Burundi,0.97,79.2,14.0,39371,96.0
Cabo Verde,0.97,83.5,11.1,48433,76.3
Cambodia,0.867,79.0,6.6,68597,27.2
Cameroon,0.946,62.3,13.1,38059,96.8
Canada,0.766,56.8,10.0,35735,43.1
Central African Republic,0.97,78.0,12.3,63157,60.0
Chad,0.909,67.9,9.6,36927,89.8
Chile,0.97,76.7,13.1,82475,36.4
China,0.809,62.8,8.2,20293,79.6
Colombia,0.904,81.0,12.1,60923,13.3
Comoros,0.97,84.2,7.7,68809,83.4
Congo,0.779,69.3,11.6,1770,46.9
Costa Rica,0.76,72.5,4.9,14736,60.2
Croatia,0.783,80.2,10.7,13440,16.3
Cuba,0.862,61.2,8.2,42736,84.8
Cyprus,0.645,57.9,9.6,10610,10.6
Czech Republic,0.86,82.4,13.8,28516,12.2
Denmark,0.97,78.5,9.5,87443,59.3
Djibouti,0.665,58.4,5.9,3125,52.2
Dominica,0.89,69.2,13.6,30031,58.1
Dominican Republic,0.97,83.3,10.0,82412,39.0
Ecuador,0.716,56.9,4.9,2257,88.9
Egypt,0.892,72.4,9.5,12782,98.1
El Salvador,0.823,64.5,6.0,42902,71.9
Equatorial Guinea,0.849,76.1,9.4,19012,61.6
Eritrea,0.915,73.6,10.2,33094,79.5
Estonia,0.701,59.0,6.3,44233,20.7
Eswatini,0.97,70.3,10.4,86156,96.1
Ethiopia,0.822,83.9,5.1,9100,69.7
Fiji,0.97,76.8,5.8,87876,71.1
Finland,0.735,59.8,3.6,35675,63.0
France,0.97,84.9,12.7,30111,85.1
Gabon,0.889,81.6,8.2,25736,69.1
Gambia,0.791,57.6,10.2,12925,77.7
Georgia,0.756,66.4,9.7,33121,20.5
Germany,0.698,69.1,4.7,3558,51.2
Ghana,0.726,68.5,8.2,7461,38.8
Greece,0.67,58.5,7.9,2307,42.2
Grenada,0.794,69.5,6.0,68996,17.0
Guatemala,0.831,76.4,9.7,37119,29.7
Guinea,0.901,65.0,9.8,71149,53.1
Guinea-Bissau,0.97,76.6,12.1,77296,67.3
Guyana,0.853,74.3,5.6,72304,34.2
Haiti,0.793,78.4,6.6,34341,30.0
Honduras,0.908,56.5,8.9,82491,70.2
Hungary,0.698,57.9,7.7,21071,38.2
Iceland,0.936,80.1,9.2,28342,86.8
India,0.694,58.8,9.8,31763,8.2
Indonesia,0.782,58.2,10.1,50643,30.7
Iran,0.704,55.4,13.1,22465,9.3
Iraq,0.97,67.5,11.1,49981,97.7
Ireland,0.887,79.3,13.1,21860,45.5
Israel,0.878,84.8,12.1,7664,50.2
Italy,0.734,60.9,6.3,16233,63.8
Jamaica,0.796,57.0,8.2,62463,39.9
Japan,0.97,73.5,6.7,85523,72.8
Jordan,0.97,82.3,12.6,56162,94.4
Kazakhstan,0.97,73.7,6.8,77602,91.2
Kenya,0.696,65.1,11.5,2953,14.9
Kiribati,0.949,77.1,14.1,10391,87.4
Kuwait,0.907,74.1,10.1,77479,25.7
Kyrgyzstan,0.97,72.5,14.4,26752,97.7
Laos,0.701,61.4,4.5,32926,39.2
Latvia,0.729,63.0,5.8,59067,12.2
Lebanon,0.749,75.9,9.5,8776,23.0
Lesotho,0.95,63.4,10.1,63624,87.9
Liberia,0.842,70.6,7.9,44510,53.0
Libya,0.726,60.2,7.7,33539,32.6
Liechtenstein,0.861,73.5,9.3,29497,62.8
Lithuania,0.9,67.1,9.8,48848,72.6
Luxembourg,0.806,78.8,7.7,1617,64.4
Madagascar,0.7,70.3,4.1,41235,11.3
Malawi,0.837,73.2,13.3,27821,26.6
Malaysia,0.816,70.9,4.3,21987,87.9
Maldives,0.97,84.6,13.7,59261,87.1
Mali,0.816,78.0,12.0,30278,10.8
Malta,0.887,75.7,13.6,56145,12.2
Marshall Islands,0.873,76.2,7.2,42385,62.0
Mauritania,0.844,67.2,8.4,89076,9.1
Mauritius,0.893,63.2,8.2,63386,72.6
Mexico,0.97,82.6,10.5,61377,91.6
Micronesia,0.97,81.7,7.3,42492,97.3
Moldova,0.97,61.0,11.3,79501,88.1
Monaco,0.738,59.0,9.3,47314,15.5
Mongolia,0.878,60.3,10.0,37938,88.5
Montenegro,0.874,81.4,3.8,50446,64.3
Morocco,0.805,61.6,10.4,8739,78.5
Mozambique,0.768,66.2,14.0,6878,27.1
Myanmar,0.832,73.0,9.5,13287,66.1
Namibia,0.97,80.8,13.6,82875,85.4
Nauru,0.73,57.5,8.7,40772,26.6
Nepal,0.802,82.5,9.9,26921,11.1
Netherlands,0.893,64.2,6.7,60768,83.2
New Zealand,0.97,83.1,8.9,79621,90.5
